cia_aerea_key,cia_aerea
1,Aerolíneas argentinas
2,Aeroméxico
3,Air China
4,Air canada
5,Air china
6,Air europa
7,Air france
8,American airlines
9,Arajet
10,Avianca
11,Azul
12,Boa
13,British airways
14,Conviasa
15,Copa airlines
16,Delta
17,Dnata
18,Emirates
19,Ethiopian
20,Flybondi
21,Gol
22,Iberia
23,Ita airways
24,Jet smart
25,Jetsmart
26,Klm
27,Latam
28,Lufthansa
29,Qatar airways
30,Royal air maroc
31,Sata azores
32,Sky airlines
33,South african airways
34,Surinam airways
35,Swiss
36,Taag
37,Tap
38,Turkish airlines
39,United airlines
